W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
in	IN	Vienna	NNP	on	IN	how	WRB
the	DT	plant	NN	,	,	after	IN
Ahmadinejad	NN	said	VBD	that	IN	European	JJ
supply	NN	boat	NN	as	IN	it	PRP
in	IN	Mogadishu	NN	.	.	*	END
in	IN	Baghdad	NN	.	.	*	END
runoff	NN	elections	NNS	.	.	*	END
arrests	NNS	occurred	VBD	in	IN	Alexandria	NNS
*	START	In	IN	's	POS	elections	NNS
easily	RB	passed	VBN	by	IN	a	DT
during	IN	weekly	JJ	prayers	NNS	.	.
police	NNS	said	VBD	that	IN	Omar	NN
prison	NN	since	IN	year	NN	after	IN
since	IN	last	JJ	after	IN	serving	VBG
South	NNP	Waziristan	NN	when	WRB	his	PRP$
Afghanistan	NNP	in	IN	.	.	*	END
admitted	VBN	in	IN	that	IN	he	PRP
officials	NNS	said	VBD	that	IN	they	PRP
summit	NN	on	IN	8	CD	and	CC
on	IN	September	NNP	and	CC	9	CD
body	NN	in	IN	to	TO	provide	NN
meeting	NN	on	IN	.	.	*	END
before	IN	an	DT	cease-fire	NN	,	,
in	IN	Khartoum	NNP	.	.	*	END
violated	VBN	the	DT	truce	NN	.	.
*	*	*	START	,	,	the	DT
with	IN	the	DT	1	CD	Bali	NN
police	NNS	said	VBD	the	DT	men	NNS
as	IN	the	DT	Bali	NN	bombings	NNS
to	TO	the	DT	shooting	VBG	said	VBD
Helicopter	NN	gunships	NNS	pounded	VBN	militant	NN
region	NN	since	IN	.	.	*	END
*	START	On	IN	,	,	five	CD
authorities	NNS	on	IN	found	NN	the	DT
military	JJ	said	VBD	13	CD	guerrillas	NNS
said	VBD	Saturday	NNP	guerrillas	NNS	were	VBD
wounded	VBD	early	RB	in	IN	an	DT
died	VBD	late	RB	and	CC	tested	VBN
flu	NN	since	IN	.	.	*	END
violence	NN	erupted	VBD	after	IN	insurgents	NNS
to	TO	Somalia	NN	December	NNP	to	TO
Somalia	NN	last	JJ	to	TO	help	NN
peace	NN	talks	NNS	November	NNP	,	,
talks	NNS	last	JJ	,	,	but	CC
Qureia	NN	said	VBD	that	IN	reaching	VBG
military	JJ	statement	NN	,	,	said	VBD
VOA	NN	's	POS	Soh	NN	found	NN
a	DT	meeting	NN	between	IN	Panamanian	JJ
Panama	NN	in	IN	,	,	hours	NNS
during	IN	the	DT	Ibero-American	JJ	summit	NN
soldier	NN	in	IN	.	.	*	END
*	START	On	IN	,	,	Palestinian	JJ
Saltillo	NN	plant	NN	,	,	Mexican	JJ
*	*	*	START	's	POS	verdict	NN
interview	NN	airs	NNS	2	CD	and	CC
airs	NNS	August	NNP	and	CC	3	CD
and	CC	later	RB	3	CD	on	IN
later	RB	August	NNP	on	IN	2020	CD
term	NN	in	IN	.	.	*	END
of	IN	Virginia	NNP	that	IN	he	PRP
in	IN	the	DT	elections	NNS	.	.
Nations	NNS	says	VBZ	's	POS	Indian	JJ
started	VBN	in	IN	.	.	*	END
she	PRP	died	VBD	.	.	*	END
*	*	*	START	,	,	officials	NNS
turned	VBD	violent	NN	,	,	with	IN
,	,	arrives	NNS	in	IN	Beijing	NNP
of	IN	the	DT	Summer	NN	Olympics	NNS
bid	NN	in	IN	of	IN	2005	CD
in	IN	July	NNP	2005	CD	.	.
July	NNP	of	IN	.	.	*	END
report	NN	due	JJ	is	VBZ	expected	VBN
of	IN	the	DT	Olympic	NN	mascots	NNS
near	IN	Kandahar	NNP	.	.	*	END
shot	NN	dead	JJ	in	IN	Colombo	NN
attacked	VBN	in	IN	,	,	was	VBD
media	NNS	reported	VBD	that	IN	the	DT
in	IN	early	RB	.	.	*	END
in	IN	the	DT	and	CC	1980s	CD
1970s	NNS	and	CC	.	.	*	END
report	NN	released	VBN	,	,	said	VBD
after	IN	the	DT	invasion	NN	of	IN
arraigned	VBN	in	IN	at	IN	a	DT
negotiations	NNS	on	IN	at	IN	another	DT
forces	NNS	on	IN	.	.	*	END
Paris	NNP	late	RB	and	CC	touched	VBN
Airport	NN	early	RB	.	.	*	END
to	TO	Baghdad	NN	this	DT	year	NN
Baghdad	NN	earlier	RBR	year	NN	.	.
earlier	RBR	this	DT	.	.	*	END
jobs	NNS	in	IN	.	.	*	END
hour	NN	in	IN	-	:	a	DT
